school,age,guardian,traveltime,studytime,failures,internet,absences,G1,G2,G3
MS,18,mother,1,2,2,yes,9,4,8,8
MS,16,mother,2,1,0,yes,6,7,8,8
MS,19,other,2,1,3,yes,4,8,9,9
MS,16,mother,2,2,2,no,8,5,5,7
MS,17,mother,1,1,0,no,9,7,9,10
MS,20,other,2,1,1,yes,12,8,11,10
MS,18,mother,1,1,0,yes,8,10,11,10
MS,18,mother,2,1,0,yes,8,9,10,11
MS,19,other,3,2,1,yes,8,10,9,11
MS,17,mother,2,2,1,yes,4,8,9,10
MS,18,mother,1,1,0,yes,0,9,10,9
MS,19,other,3,1,1,yes,4,8,9,10
MS,18,mother,2,2,2,no,2,6,8,8
MS,19,mother,1,1,0,no,0,6,8,7
MS,18,mother,2,1,1,yes,0,8,6,0
MS,17,mother,2,1,0,yes,0,10,11,11
MS,17,other,2,3,0,no,5,8,7,8
MS,17,mother,1,2,0,yes,0,8,8,0
MS,18,mother,1,2,1,yes,3,7,6,8
MS,17,mother,1,1,0,no,0,8,10,9
MS,17,father,1,1,0,yes,0,7,10,10
MS,18,mother,3,2,2,no,3,7,8,7
MS,18,father,2,2,0,yes,2,12,13,14
MS,17,mother,2,1,0,yes,0,11,12,13
MS,18,mother,2,2,0,yes,0,12,13,14
MS,18,mother,2,2,0,yes,0,18,18,18
MS,18,mother,1,1,0,yes,3,17,17,17
MS,17,mother,2,2,0,yes,0,17,18,18
MS,18,mother,3,2,1,no,0,9,0,0
MS,18,mother,2,1,0,no,8,10,11,11
MS,18,mother,3,1,0,yes,5,12,13,14
MS,17,father,3,1,0,no,4,12,13,14
MS,18,mother,2,2,0,yes,4,8,8,10
MS,18,father,2,3,0,yes,0,11,12,13
MS,18,mother,1,2,0,yes,0,5,0,0
MS,18,mother,3,2,1,no,2,9,10,10
MS,19,father,2,1,1,no,0,5,0,0
MS,17,father,2,4,0,yes,0,18,18,18
MS,17,mother,2,2,0,yes,5,11,11,12
MS,18,mother,1,2,0,no,2,8,10,11
MS,18,father,2,2,0,no,0,11,11,12
MS,19,other,2,2,3,no,0,8,0,0
MS,18,mother,2,3,0,yes,5,14,14,15
MS,17,mother,2,2,1,yes,4,10,11,11
MS,18,father,1,2,0,no,0,10,10,10
MS,17,father,2,2,0,yes,2,12,12,12
MS,17,mother,2,2,0,no,0,15,14,15
MS,18,father,2,1,0,yes,2,14,13,14
MS,18,father,2,3,0,yes,0,19,17,18
MS,18,mother,3,2,0,no,0,16,15,15
MS,18,mother,2,2,0,yes,6,13,12,13
MS,17,mother,1,2,0,yes,4,15,14,15
MS,17,father,2,2,0,no,0,13,13,13
MS,18,mother,2,2,0,no,0,8,10,9
MS,18,mother,2,3,0,yes,0,15,16,16
MS,17,mother,3,1,1,yes,0,8,8,9
MS,18,father,2,1,0,yes,0,10,10,10
MS,18,father,3,2,0,yes,0,7,5,0
MS,18,father,3,1,0,yes,3,9,10,10
MS,17,mother,1,3,0,no,8,10,11,12
MS,17,mother,1,1,0,yes,4,7,8,9
MS,18,mother,2,3,0,yes,0,15,17,17
MS,18,mother,4,3,0,yes,4,10,11,12
MS,19,other,2,2,1,yes,4,7,8,9
MS,18,mother,1,2,0,yes,1,13,14,14
MS,18,mother,1,2,0,yes,1,16,16,16
MS,17,mother,1,2,0,yes,10,8,9,9
MS,18,father,1,2,0,yes,4,17,18,19
MS,18,mother,2,1,0,yes,0,7,7,0
MS,17,father,2,2,0,yes,4,14,15,16
MS,19,mother,2,1,1,no,0,5,8,0
MS,18,father,2,1,1,no,0,7,7,0
MS,18,mother,2,3,0,no,0,14,17,15
MS,17,mother,2,2,0,yes,0,6,9,11
MS,18,mother,3,1,0,yes,4,7,9,10
MS,19,mother,1,3,1,yes,4,10,11,10
MS,18,mother,1,2,0,yes,4,15,15,16
MS,18,mother,2,2,0,no,6,11,12,9
MS,17,mother,2,1,0,yes,6,10,10,10
MS,18,mother,3,1,0,yes,4,10,11,11
